"REF_DATE","GEO","DGUID","Building type","Construction type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017-07","Montréal, Quebec","2016S0503462","Total, building type","New build","Index, 2017=100","373","units ","0","v1073542628","2.1.2","100.1","","","","1"
"2017-07","Montréal, Quebec","2016S0503462","Total, building type","Resale","Index, 2017=100","373","units ","0","v1073542631","2.1.3","100.8","","","","1"
"2017-07","Montréal, Quebec","2016S0503462","House","Total, construction type","Index, 2017=100","373","units ","0","v1073542626","2.2.1","100.7","","","","1"
"2017-07","Montréal, Quebec","2016S0503462","House","New build","Index, 2017=100","373","units ","0","v1073542629","2.2.2","100.2","","","","1"
"2017-07","Montréal, Quebec","2016S0503462","House","Resale","Index, 2017=100","373","units ","0","v1073542632","2.2.3","100.8","","","","1"
"2017-07","Montréal, Quebec","2016S0503462","Condominium apartment","Total, construction type","Index, 2017=100","373","units ","0","v1073542627","2.3.1","100.5","","","","1"
"2017-07","Montréal, Quebec","2016S0503462","Condominium apartment","New build","Index, 2017=100","373","units ","0","v1073542630","2.3.2","100.0","","","","1"
"2017-07","Montréal, Quebec","2016S0503462","Condominium apartment","Resale","Index, 2017=100","373","units ","0","v1073542633","2.3.3","100.7","","","","1"
"2017-07","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Total, building type","Total, construction type","Index, 2017=100","373","units ","0","v1073542634","3.1.1","101.2","","","","1"
"2017-07","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Total, building type","New build","Index, 2017=100","373","units ","0","v1073542637","3.1.2","100.7","","","","1"
"2017-07","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Total, building type","Resale","Index, 2017=100","373","units ","0","v1073542640","3.1.3","101.5","","","","1"
"2017-07","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","House","Total, construction type","Index, 2017=100","373","units ","0","v1073542635","3.2.1","101.4","","","","1"
"2017-07","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","House","New build","Index, 2017=100","373","units ","0","v1073542638","3.2.2","100.6","","","","1"
"2017-07","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","House","Resale","Index, 2017=100","373","units ","0","v1073542641","3.2.3","101.7","","","","1"
"2017-07","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Condominium apartment","Total, construction type","Index, 2017=100","373","units ","0","v1073542636","3.3.1","100.7","","","","1"
"2017-07","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Condominium apartment","New build","Index, 2017=100","373","units ","0","v1073542639","3.3.2","101.3","E","","","1"
"2017-07","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Condominium apartment","Resale","Index, 2017=100","373","units ","0","v1073542642","3.3.3","100.4","","","","1"
"2017-07","Toronto, Ontario","2016S0503535","Total, building type","Total, construction type","Index, 2017=100","373","units ","0","v1073542643","4.1.1","101.9","","","","1"
"2017-07","Toronto, Ontario","2016S0503535","Total, building type","New build","Index, 2017=100","373","units ","0","v1073542646","4.1.2","100.9","","","","1"
"2017-07","Toronto, Ontario","2016S0503535","Total, building type","Resale","Index, 2017=100","373","units ","0","v1073542649","4.1.3","102.3","","","","1"
