"REF_DATE","GEO","DGUID","Components of population growth","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017/2018","Halifax (CMA), Nova Scotia","2016S0503205","Emigrants","Both sexes","All ages","Persons","249","units","0","v1060845994","8.4.1.1","683","","","","0"
"2018/2019","Halifax (CMA), Nova Scotia","2016S0503205","Emigrants","Both sexes","All ages","Persons","249","units","0","v1060845994","8.4.1.1","690","","","","0"
"2019/2020","Halifax (CMA), Nova Scotia","2016S0503205","Emigrants","Both sexes","All ages","Persons","249","units","0","v1060845994","8.4.1.1","528","","","","0"
"2015/2016","Halifax (CMA), Nova Scotia","2016S0503205","Returning emigrants","Both sexes","All ages","Persons","249","units","0","v1060846327","8.5.1.1","396","","","","0"
"2016/2017","Halifax (CMA), Nova Scotia","2016S0503205","Returning emigrants","Both sexes","All ages","Persons","249","units","0","v1060846327","8.5.1.1","469","","","","0"
"2017/2018","Halifax (CMA), Nova Scotia","2016S0503205","Returning emigrants","Both sexes","All ages","Persons","249","units","0","v1060846327","8.5.1.1","384","","","","0"
"2018/2019","Halifax (CMA), Nova Scotia","2016S0503205","Returning emigrants","Both sexes","All ages","Persons","249","units","0","v1060846327","8.5.1.1","454","","","","0"
"2019/2020","Halifax (CMA), Nova Scotia","2016S0503205","Returning emigrants","Both sexes","All ages","Persons","249","units","0","v1060846327","8.5.1.1","395","","","","0"
"2015/2016","Halifax (CMA), Nova Scotia","2016S0503205","Net temporary emigration","Both sexes","All ages","Persons","249","units","0","v1060846660","8.6.1.1","207","","","","0"
"2016/2017","Halifax (CMA), Nova Scotia","2016S0503205","Net temporary emigration","Both sexes","All ages","Persons","249","units","0","v1060846660","8.6.1.1","186","","","","0"
"2017/2018","Halifax (CMA), Nova Scotia","2016S0503205","Net temporary emigration","Both sexes","All ages","Persons","249","units","0","v1060846660","8.6.1.1","184","","","","0"
"2018/2019","Halifax (CMA), Nova Scotia","2016S0503205","Net temporary emigration","Both sexes","All ages","Persons","249","units","0","v1060846660","8.6.1.1","187","","","","0"
"2019/2020","Halifax (CMA), Nova Scotia","2016S0503205","Net temporary emigration","Both sexes","All ages","Persons","249","units","0","v1060846660","8.6.1.1","129","","","","0"
